answer_text,word_count,dream_entry_title,date,respondent,survey,"Sex Assigned at Birth","Typical Dreams: Falling","Age Range",Age,"ZIP Code","Income Tier","Income (values)",Race/Ethnicity,"Education Level","Education Level (values)","Race/Ethnicity (values)",Region,"College Degree","Race Recode","Political Ideology","Political Ideology 2","Religious Affiliation A","Born Again Christian","Marital status","Marital Status A",<none>,"Coffee drinkers at home","<BR>Do you or anyone in your household brew any of the coffee consumed at home on a Keurig single brew (k-cup) machine?","Religious Worship A","Tea Party Views","Passport Ownership","US State of Residence",ID,"Political Party x Race/Ethnicity","Marital Status & Gender",TIME,Total,"Would you be interested in speaking with a reporter about the results of this survey?","More Spiritual Than Religious","Insomnia Nights Per Week A",Likelihood,"Ideology Recoded","Typical Dreams: Flying",DATE1,DATE2,Generation,"Earliest Remembered Dream: Recurrent","2008 President","Hours of sleep per night","Typical Dreams: Sexual","Parent of a young child","Would you be interested in participating in an interactive online focus group in the future?","Sexual Dreams Before Waking Sexual Activity","Typical Dreams: Just Like Waking Life","Typical Dreams: Awareness","Typical Dreams: Control","Most Recent Dream: Recurrent","Worst Nightmare: Recurrent",Registered,"2008 Presidential Vote","Political Party","Dream Recall","2008 results","Nightmare Recall",Party,"Talking About Dreams","Typical Dreams: Visitation","Typical Dreams: Being Chased or Attacked","Race/Ethnicity D"
"Don't remember",2,"Dream Text: Worst Nightmare",2010-08-03T05:14:41+00:00,zogby_052110:37286,"2010 Demographic Survey",Male,"Not sure",35-49,45-64,38068,"Middle income",$50-75K,White,"Some College",SomeCol,White,Midwest,"No College Degree",1,Cons,7,Protestant,No/NS,Married,Married,46.00,Yes,No,1-2/Mo,"Very important",No/NS,Tennessee,"1,146,701","White Ind","Married Male","77,479",Total,"Not sure",Yes,0,"Very likely",Conservative,No,22,22,Woodstockers,,McCain,6,"Not sure",Yes,,,Yes,No,No,,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Less often than once a month",McCain,"Less than once a month",Independent,Never,No,"Not sure",No/NS
drowning,1,"Dream Text: Worst Nightmare",2010-08-03T05:16:14+00:00,zogby_052110:49102,"2010 Demographic Survey",Female,Yes,50-64,45-64,5478,"High income",$100+,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Lib,2,Other/None,,Married,Married,59.00,Yes,No,Rarely,"Not Important",Yes,Vermont,"962,321","White Ind","Married Female","77,460",Total,Yes,Yes,1,"Very likely",Liberal,Yes,22,22,Woodstockers,,Obama,7.5,No,No,,,Yes,Yes,Yes,No,Yes,Yes,Obama,Independent/unenrolled/Unaffiliated,"Almost every morning or more often",Obama,"Several times a week",Independent,"About once a week",No,Yes,No/NS
"I have dreampt of falling and I think that scares me more than any other dream that I can remember",20,"Dream Text: Worst Nightmare",2010-08-03T05:16:13+00:00,zogby_052110:48995,"2010 Demographic Survey",Male,Yes,50-64,45-64,44883,"Upper-middle income",$75-100K,White,"Some College",SomeCol,White,Midwest,"No College Degree",1,VCons,"Extremely conservative",Protestant,Yes,"Civil union","Civil Union/domestic partnership",60.00,Yes,No,Holidays,"Very important",No/NS,Ohio,"313,365","White Rep","Other Male","77,548",Total,No,No,1,"Very likely",Conservative,Yes,22,22,Woodstockers,No,McCain,7,No,No,,,No,Yes,No,No,No,Yes,McCain,Republican,Never,McCain,Never,Republican,Never,No,Yes,No/NS
"The city I live in had been taken over by martial law. My husband and I were driving through it--don't remember where we were going. We had to stop at a checkpoint set up at a specific intersection that I know well in my real life. At the checkpoint, two military men in camo, carrying guns, stopped us and asked where we were going. My husband smarted off to them that he didn't have to tell them because we were in America. One of the guards shot my husband and killed him.",93,"Dream Text: Worst Nightmare",2010-08-03T05:16:16+00:00,zogby_052110:49343,"2010 Demographic Survey",Female,Yes,50-64,45-64,97267,,,White,"College Degree",Col+,White,West,"College Degree+",1,Prog,"Extremely liberal",Catholic,,D/W/S,Widowed,53.00,Yes,No,Rarely,"Not Important",Yes,Oregon,"859,463","White Dem","Other Female","77,667",Total,Yes,Yes,2,"Very likely",Liberal,Yes,22,22,Woodstockers,Yes,Obama,9,Yes,No,,No,Yes,Yes,Yes,No,No,Yes,Obama,Democratic,"Once a week",Obama,"About once a week",Democratic,Never,Yes,Yes,No/NS
"Pres Bush for 8 yrs were the worst nightmare that came true.",12,"Dream Text: Worst Nightmare",2010-08-03T05:16:09+00:00,zogby_052110:48656,"2010 Demographic Survey",Female,"Not sure",50-64,45-64,38138,,,White,"Some College",SomeCol,White,Midwest,"No College Degree",1,Mod,4,,,Married,Married,57.00,Yes,No,,"Not Important",Yes,Tennessee,"422,537","White Ind","Married Female","77,806",Total,Yes,"NS/not religious or spiritual",3,"Very likely",Moderate,"Not sure",22,22,Woodstockers,,Obama,7,"Not sure",No,,,"Not sure","Not sure","Not sure",,No,No,Obama,Independent/unenrolled/Unaffiliated,Never,Obama,"Less than once a month",Independent,Never,"Not sure","Not sure",No/NS
na,1,"Dream Text: Worst Nightmare",2010-08-03T05:14:29+00:00,zogby_052110:35824,"2010 Demographic Survey",Male,No,50-64,45-64,76051,"Middle income",$50-75K,White,"High School Degree",HSGrad,White,South,"No College Degree",1,VCons,"Extremely conservative",Protestant,Yes,Married,Married,64.00,Yes,No,Weekly+,"Somewhat important",Yes,Texas,"1,123,265","White Ind","Married Male","77,790",Total,"Not sure",Yes,0,"Very likely",Conservative,No,22,22,Woodstockers,,McCain,6,No,No,,,No,Yes,No,,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Several times a week",McCain,Never,Independent,"Less than once a month",Yes,No,No/NS
"I simply recall having had nightmares in my past, but they were infrequent, and I do not recall any details.",20,"Dream Text: Worst Nightmare",2010-08-03T05:16:19+00:00,zogby_052110:49707,"2010 Demographic Survey",Female,Yes,50-64,45-64,80538,,,White,"College Degree",Col+,White,West,"College Degree+",1,Cons,8,Protestant,Yes,Married,Married,63.00,Yes,No,Weekly,"Somewhat important",Yes,Colorado,"1,196,947","White Rep","Married Female","77,942",Total,"Not sure",Yes,2,"Very likely",Conservative,No,22,22,Woodstockers,No,McCain,6,No,No,,,Yes,Yes,Yes,No,No,Yes,McCain,Republican,"1 to 3 times a month",McCain,"Less than once a month",Republican,"Less than once a month",No,Yes,No/NS
Nothing,1,"Dream Text: Worst Nightmare",2010-08-03T05:15:33+00:00,zogby_052110:43843,"2010 Demographic Survey",Male,Yes,50-64,45-64,46074,"High income",$100+,White,"Some College",SomeCol,White,Midwest,"No College Degree",1,Mod,2,Other/None,,Married,Married,57.00,Yes,No,Never,"Not Important",Yes,Indiana,"357,367","White Dem","Married Male","78,284",Total,Yes,No,0,"Very likely",Moderate,Yes,22,22,Woodstockers,,Obama,8,No,No,,,Yes,Yes,No,,"Not sure",Yes,Obama,Democratic,"Several times a week",Obama,"Less than once a month",Democratic,Never,No,Yes,No/NS
"I was involved in a sport where people shot flying babies. I kept trying to get them to stop shooting, but I wasn't successful.",24,"Dream Text: Worst Nightmare",2010-08-03T05:15:07+00:00,zogby_052110:40644,"2010 Demographic Survey",Female,Yes,50-64,45-64,18355,"High income",$100+,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Lib,2,Protestant,No/NS,Married,Married,55.00,Yes,No,Rarely,"Very important",Yes,Pennsylvania,"964,057","White Dem","Married Female","77,941",Total,No,Yes,0,"Very likely",Liberal,Yes,22,22,Woodstockers,,Obama,8,Yes,No,,No,Yes,Yes,Yes,,No,Yes,Obama,Democratic,"Several times a week",Obama,"Less than once a month",Democratic,"Two or three times a month",Yes,No,No/NS
"A giant spider",3,"Dream Text: Worst Nightmare",2010-08-03T05:15:37+00:00,zogby_052110:44252,"2010 Demographic Survey",Male,No,50-64,45-64,32812,"High income",$100+,White,"College Degree",Col+,White,South,"College Degree+",1,Mod,5,Catholic,,Married,Married,55.00,Yes,No,Rarely,"Not Important",Yes,Florida,"816,553","White Ind","Married Male","78,280",Total,No,Yes,0,"Very likely",Moderate,No,22,22,Woodstockers,,Obama,7,Yes,No,,Yes,Yes,Yes,No,,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Once a week",Obama,"Less than once a month",Independent,"Less than once a month",Yes,Yes,No/NS
"being poorly prepared to do something when others were dependent on me",12,"Dream Text: Worst Nightmare",2010-08-03T05:15:09+00:00,zogby_052110:41040,"2010 Demographic Survey",Male,"Not sure",65+,65+,55076,"High income",$100+,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Lib,3,Catholic,,D/W/S,Divorced/separated,75.00,Yes,No,Weekly,"Not Important",Yes,Minnesota,"46,833","White Dem","Other Male","78,076",Total,"Not sure",Yes,2,"Very likely",Liberal,No,22,22,Privates,,Obama,7,Yes,No,,Yes,No,Yes,"Not sure",Yes,Yes,Yes,Obama,Democratic,"Several times a week",Obama,"Several times a week",Democratic,"Less than once a month",Yes,Yes,No/NS
"I was kicked out of my church because the people there had learned what I had done before I became a Born Again Christian",24,"Dream Text: Worst Nightmare",2010-08-03T05:16:07+00:00,zogby_052110:48246,"2010 Demographic Survey",Male,No,35-49,30-44,32724,"Middle income",$50-75K,White,"Some College",SomeCol,White,South,"No College Degree",1,Libert,,Protestant,Yes,D/W/S,Divorced/separated,0.27,Yes,No,Weekly+,"Not Important",No/NS,Florida,"320,799","White Ind","Other Male","78,137",Total,No,Yes,0,"Very likely",Libert,Yes,22,22,Nikes,No,Other,7.5,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,"Someone else",Libertarian,"1 to 3 times a month",Other,"Less than once a month",Independent,"Less than once a month",Yes,Yes,No/NS
"It's too personal to share.",5,"Dream Text: Worst Nightmare",2010-08-03T05:15:45+00:00,zogby_052110:45158,"2010 Demographic Survey",Female,Yes,35-49,45-64,37923,"Low-middle income",$35-50K,Other,"Some College",SomeCol,Other/mixed,Midwest,"No College Degree",0,,,,,Married,Married,46.00,Yes,Yes,Weekly,"Not Important",No/NS,Tennessee,"380,985",Other,"Married Female","77,775",Total,Yes,No,7,"Very likely",,No,22,22,Woodstockers,Yes,Obama,"5 or less",Yes,No,,Yes,Yes,Yes,Yes,No,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Several times a week",Obama,"About once a week",Independent,"Several times a week",Yes,No,No/NS
"I do not remember unpleasant dreams often. About the worst I can remember is having to hike out of a large, dense forest alone. I found an abandoned baby at the edge of the tree line and carried it with me into the town.",44,"Dream Text: Worst Nightmare",2010-08-03T05:15:29+00:00,zogby_052110:43464,"2010 Demographic Survey",Female,No,50-64,45-64,32003,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,South,"College Degree+",1,Cons,6,Protestant,No/NS,Married,Married,60.00,Yes,No,Weekly,"Not Important",Yes,Florida,"1,023,193","White Rep","Married Female","78,391",Total,No,Yes,0,"Very likely",Conservative,No,22,22,Woodstockers,,McCain,7,Yes,No,,No,No,"Not sure","Not sure",No,No,Yes,McCain,Republican,"Once a week",McCain,"Less than once a month",Republican,Never,No,No,No/NS
"I don't really recall a nightmare, but terrible dreams. Worst one was during my daughter's teen years. I dreamt that I was sweeping my house and no matter how many times I swept, demons kept creeping through every crevice, nook and cranny. I kept on sweeping and yelling at them that Our God reigns in this home to leave my home. Then I awoke.",64,"Dream Text: Worst Nightmare",2010-08-03T05:12:44+00:00,zogby_052110:22175,"2010 Demographic Survey",Female,Yes,35-49,45-64,77095,"High income",$100+,"Hispanic or Latino","College Degree",Col+,Hisp,South,"College Degree+",2,Mod,6,Catholic,,Married,Married,45.00,No,No,Weekly,"Not Important",No/NS,Texas,"1,189,176","Hisp ind","Married Female","78,338",Total,Yes,Yes,0,"Very likely",Moderate,Yes,22,22,Nikes,Yes,McCain,6,Yes,No,,No,Yes,Yes,No,No,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Less often than once a month",McCain,"Less than once a month",Independent,"Less than once a month",Yes,Yes,Yes
"I am in a very ugly, rundown section of a city. Everything is dingy and sooty; there are broken windows and the pavement is badly cracked. I am running as fast as I can from an unknown pursuer, when I trip on a curb and fall on my face.",49,"Dream Text: Worst Nightmare",2010-08-03T05:14:45+00:00,zogby_052110:37866,"2010 Demographic Survey",Female,Yes,50-64,45-64,14775,"Low-middle income",$35-50K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Prog,2,Other/None,,Married,Married,0.21,Yes,No,Rarely,"Not Important",No/NS,"New York","347,637","White Dem","Married Female","1,917",Total,No,Yes,0,"Very likely",Liberal,Yes,23,23,Woodstockers,No,Obama,7,Yes,No,,"Not sure",Yes,Yes,Yes,No,Yes,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Less than once a month",Democratic,"Less than once a month",Yes,Yes,No/NS
"Really don't remember.",3,"Dream Text: Worst Nightmare",2010-08-03T05:14:32+00:00,zogby_052110:36192,"2010 Demographic Survey",Male,Yes,25-34,30-44,13131,"Middle income",$50-75K,White,"Some College",SomeCol,White,Northeast,"No College Degree",1,Libert,7,Other/None,,Married,Married,32.00,Yes,No,Never,"Somewhat important",Yes,"New York","1,103,637","White Ind","Married Male","2,058",Total,Yes,Yes,0,"Very likely",Libert,Yes,23,23,Nikes,,McCain,6.5,Yes,Yes,Yes,Yes,No,Yes,No,,"Not sure",Yes,McCain,Libertarian,"Once a week",McCain,"Less than once a month",Independent,"Less than once a month",Yes,Yes,No/NS
"The only aspect of my worst nightmares that I can remember involve my family dieing or being harmed in some way. It is realistic enough that I have to convince myself to not start calling people at three in the morning to confirm that everyone is still alright.",48,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:180,"2010 Demographic Survey",Female,No,25-34,18-29,35758,"Low income","< $25K",,"Some College",SomeCol,,South,"No College Degree",0,Lib,3,Other/None,,Married,Married,28.00,Yes,No,Rarely,,No/NS,Alabama,"1,030,353",,"Married Female","2,087",Total,"Not sure",Yes,3,"Very likely",Liberal,Yes,23,23,"First Globals",,Obama,7,Yes,No,,Yes,"Not sure",Yes,"Not sure",No,"Not sure",Yes,Obama,Independent/unenrolled/Unaffiliated,"Almost every morning or more often",Obama,"Almost every morning",Independent,"Two or three times a month",No,Yes,
"I was in the position of having to defend my family against a murderer, and while I was armed and drew my weapon, I wasn't able to physically pull the trigger. I was trying and trying, but the trigger would not budge and the firearm would not fire. I had to stand helpless as my family was attacked.",58,"Dream Text: Worst Nightmare",2010-08-03T05:15:13+00:00,zogby_052110:41497,"2010 Demographic Survey",Female,No,25-34,30-44,15301,"Middle income",$50-75K,White,"Some College",SomeCol,White,Northeast,"No College Degree",1,Libert,7,Catholic,,"Civil union","Civil Union/domestic partnership",32.00,Yes,No,1-2/Mo,"Somewhat important",No/NS,Pennsylvania,"379,389","White Rep","Other Female","2,598",Total,"Not sure",Yes,0,"Very likely",Libert,No,23,23,Nikes,,McCain,7,Yes,Yes,Yes,"Not sure",Yes,Yes,Yes,,"Not sure",Yes,McCain,Republican,"Once a week",McCain,"Less than once a month",Republican,"About once a week",Yes,Yes,No/NS
"my then husband, was holding something in his hands and i couldn't see what it was, and it scared me and i woke up screaming.",25,"Dream Text: Worst Nightmare",2010-08-03T05:15:50+00:00,zogby_052110:45843,"2010 Demographic Survey",Female,Yes,35-49,45-64,60101,"Low-middle income",$35-50K,White,"High School Degree",HSGrad,White,Midwest,"No College Degree",1,Cons,7,Other/None,,Married,Married,48.00,Yes,No,Rarely,"Very important",No/NS,Illinois,"1,028,541","White Rep","Married Female","2,825",Total,No,No,0,"Not likely",Conservative,Yes,23,23,Woodstockers,No,McCain,6.5,Yes,No,,"Not sure",Yes,Yes,No,No,No,Yes,McCain,Republican,"Less often than once a month",McCain,"Less than once a month",Republican,"Less than once a month",No,Yes,No/NS
"From college -- a fire escape (which did not exist from my dorm room) that I needed to go down, for an unknown reason to escape an unknown threat; I needed my father to help me, but for some reason, in the dream, he was unable to. When I woke up from it, I had to call home to make sure my dad was okay.",64,"Dream Text: Worst Nightmare",2010-08-03T05:14:46+00:00,zogby_052110:38000,"2010 Demographic Survey",Female,Yes,50-64,53,"Refused to answer","Low-middle income",$35-50K,White,"College Degree",Col+,White,South,"College Degree+",1,,7,Catholic,,D/W/S,Divorced/separated,53.00,Yes,No,Weekly,"Not sure",Yes,Virginia,"1,058,333","White Ind","Other Female","2,898",Total,No,Yes,5,"Very likely",,Yes,23,23,Woodstockers,Yes,McCain,6.5,Yes,No,,"Not sure",Yes,Yes,Yes,No,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Several times a week",McCain,"Less than once a month",Independent,Never,Yes,Yes,No/NS
"The one above. But in my early thirties I had a nightmare where I was drowning and never woke up; but apparently died.I never dreamed again until just the past few years.",32,"Dream Text: Worst Nightmare",2010-08-03T05:14:30+00:00,zogby_052110:35906,"2010 Demographic Survey",Male,No,65+,65+,30233,"Low income",$25-35K,White,"Some College",SomeCol,White,South,"No College Degree",1,Prog,"Extremely liberal",Other/None,,D/W/S,Divorced/separated,68.00,Yes,No,Never,"Not Important",Yes,Georgia,"407,165","White Dem","Other Male","3,091",Total,"Not sure",Yes,"Not sure","Very likely",Liberal,No,23,23,Privates,No,Obama,7.5,Yes,No,,Yes,"Not sure",No,No,,No,Yes,Obama,Democratic,"Less often than once a month",Obama,Never,Democratic,Never,Yes,No,No/NS
"Don't remember much of it, but it was an old house, very very old, and it was hunted. Everything in the dream was kinda purple, that's what I remember the most.",31,"Dream Text: Worst Nightmare",2010-08-03T05:12:21+00:00,zogby_052110:13716,"2010 Demographic Survey",Female,No,25-34,30-44,97035,"High income",$100+,"Hispanic or Latino","College Degree",Col+,Hisp,West,"College Degree+",2,Cons,6,Protestant,No/NS,D/W/S,Divorced/separated,33.00,No,No,Holidays,"Not Important",Yes,Oregon,"1,149,776","Hisp ind","Other Female","3,064",Total,Yes,"NS/not religious or spiritual",7,"Not likely",Conservative,Yes,23,23,Nikes,Yes,Other,8.5,Yes,No,,"Not sure",Yes,Yes,Yes,No,No,No,"Did not vote",Independent/unenrolled/Unaffiliated,"Several times a week",Other,"Less than once a month",Independent,"Two or three times a month",Yes,No,Yes
"Waking up and being completely alone and isolated where no one could see or hear me yet I was right there.",21,"Dream Text: Worst Nightmare",2010-08-03T05:15:28+00:00,zogby_052110:43386,"2010 Demographic Survey",Female,No,35-49,30-44,92881,,,White,"Some College",SomeCol,White,West,"No College Degree",1,Mod,4,Other/None,,Married,Married,40.00,Yes,Yes,Never,"Not Important",Yes,California,"1,008,241","White Rep","Married Female","3,066",Total,"Not sure","NS/not religious or spiritual",7,"Very likely",Moderate,Yes,23,23,Nikes,Yes,McCain,"5 or less",Yes,No,,"Not sure",Yes,Yes,Yes,Yes,Yes,Yes,McCain,Republican,"Several times a week",McCain,"Less than once a month",Republican,Never,Yes,No,No/NS
"Being attacked by evil creatures, and asking God to save me time and time again.",15,"Dream Text: Worst Nightmare",2010-08-03T05:13:42+00:00,zogby_052110:30253,"2010 Demographic Survey",Female,Yes,35-49,45-64,37311,"Low income","< $25K",Other,"Some College",SomeCol,Other,Midwest,"No College Degree",0,Mod,2,Protestant,Yes,,,45.00,No,No,Weekly,"Not Important",No/NS,Tennessee,"934,503",Other,"Other Female","3,427",Total,No,Yes,5,"Very likely",Moderate,Yes,23,23,Nikes,No,Obama,"5 or less",Yes,No,,Yes,"Not sure",Yes,Yes,No,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Once a week",Obama,"Less than once a month",Independent,"Less than once a month",Yes,Yes,No/NS
"As a teenager I had a dream where I was being chased by someone who finally caught up with me and shot me with a gun and screamed and screamed but nothing came out or so it seemed",38,"Dream Text: Worst Nightmare",2010-08-03T05:14:17+00:00,zogby_052110:34315,"2010 Demographic Survey",Male,Yes,35-49,45-64,76021,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,South,"College Degree+",1,Mod,4,Protestant,No/NS,D/W/S,Divorced/separated,48.00,Yes,No,Rarely,"Somewhat unimportant",Yes,Texas,"387,845","White Ind","Other Male","3,267",Total,Yes,Yes,3,"Very likely",Moderate,Yes,23,23,Woodstockers,No,Obama,6.5,No,No,,,No,No,No,No,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Less often than once a month",Obama,"Less than once a month",Independent,Never,No,No,No/NS
"I was told I had a brain tumor.",8,"Dream Text: Worst Nightmare",2010-08-03T05:12:37+00:00,zogby_052110:19814,"2010 Demographic Survey",Female,No,50-64,45-64,95765,,,"Black or African American","College Degree",Col+,AfrAmer,West,"College Degree+",3,Lib,3,Protestant,No/NS,D/W/S,Divorced/separated,64.00,Yes,No,Weekly+,"Not Important",Yes,California,"823,732","AA Ind","Other Female","3,798",Total,"Not sure",No,1,"Very likely",Liberal,No,23,23,Woodstockers,No,McCain,6.5,Yes,No,,"Not sure","Not sure",Yes,"Not sure",No,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Several times a week",McCain,"Less than once a month",Independent,"Not sure",Yes,No,No/NS
"Teeth falling out into my hand.",6,"Dream Text: Worst Nightmare",2010-08-03T05:14:46+00:00,zogby_052110:37906,"2010 Demographic Survey",Female,Yes,50-64,45-64,1801,"Low income","< $25K",White,"College Degree",Col+,White,Northeast,"College Degree+",1,VCons,8,Other/None,,Single,"Single, never married",58.00,Yes,No,1-2/Mo,"Somewhat important",No/NS,Massachusetts,"1,158,853","White Ind","Other Female","5,135",Total,Yes,"NS/not religious or spiritual",5,"Very likely",Conservative,Yes,23,23,Woodstockers,Yes,McCain,6.5,Yes,No,,No,Yes,Yes,Yes,"Not sure",Yes,Yes,McCain,Independent/unenrolled/Unaffiliated,"Less often than once a month",McCain,"Less than once a month",Independent,"Less than once a month",No,No,No/NS
"I was on a trip and couldn't find my way home...",11,"Dream Text: Worst Nightmare",2010-08-03T05:16:10+00:00,zogby_052110:48756,"2010 Demographic Survey",Female,Yes,65+,65+,11357,,,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Mod,6,Catholic,,Married,Married,67.00,Yes,Yes,Weekly,"Very important",Yes,"New York","1,111,071","White Ind","Married Female","4,770",Total,,Yes,0,"Very likely",Moderate,No,23,23,Privates,,McCain,9,No,No,,,Yes,Yes,No,No,No,Yes,McCain,Independent/unenrolled/Unaffiliated,"Almost every morning or more often",McCain,Never,Independent,"Less than once a month",No,No,No/NS
"never really had one",4,"Dream Text: Worst Nightmare",2010-08-03T05:15:12+00:00,zogby_052110:41396,"2010 Demographic Survey",Male,Yes,35-49,30-44,62234,"Low-middle income",$35-50K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Prog,2,Other/None,,Married,Married,37.00,Yes,No,Rarely,"Not Important",Yes,Illinois,"418,729","White Ind","Married Male","4,837",Total,No,"NS/not religious or spiritual",0,"Very likely",Liberal,Yes,23,23,Nikes,Yes,Obama,7,No,No,,,Yes,Yes,Yes,,No,Yes,Obama,Green,"Once a week",Obama,Never,Independent,"Less than once a month",No,"Not sure",No/NS
"I was about 5 years old, and it was Christmas Eve. I was lying in bed, in the top bunk, and when I looked over at the bedroom door, there was a skeleton standing there, with a red Santa hat on, and a bag slung over it's shoulder, as if full of gifts.",53,"Dream Text: Worst Nightmare",2010-08-03T05:15:51+00:00,zogby_052110:45921,"2010 Demographic Survey",Female,Yes,35-49,30-44,97388,"Middle income",$50-75K,White,"Some College",SomeCol,White,West,"No College Degree",1,Prog,2,Other/None,,D/W/S,Divorced/separated,42.00,No,No,Never,"Not Important",Yes,Oregon,"1,197,003","White Ind","Other Female","5,392",Total,Yes,Yes,3,"Very likely",Liberal,Yes,23,23,Nikes,No,Obama,9,Yes,No,,Yes,Yes,Yes,Yes,No,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Almost every morning or more often",Obama,"About once a week",Independent,"About once a week",Yes,Yes,No/NS
"Probably a dream where one of my children died.",9,"Dream Text: Worst Nightmare",2010-08-03T05:13:15+00:00,zogby_052110:27041,"2010 Demographic Survey",Female,Yes,50-64,45-64,98075,"Upper-middle income",$75-100K,White,"High School Degree",HSGrad,White,West,"No College Degree",1,Cons,5,Other/None,,D/W/S,Widowed,54.00,Yes,No,Rarely,"Not Important",Yes,Washington,"1,121,669","White Rep","Other Female","5,689",Total,"Not sure",Yes,1,"Very likely",Conservative,Yes,23,23,Woodstockers,,McCain,7.5,Yes,No,,"Not sure",Yes,Yes,Yes,No,No,Yes,McCain,Republican,"Several times a week",McCain,"Less than once a month",Republican,"Several times a week",Yes,Yes,No/NS
"A golden pail/bowl appeared. Suddenly, a drop of moisture appeared on the outside (like condensation). Then the realization that the moisture was a leak which became gradually bigger. Pressing my hand to the leak only temporarily stop the flow which continued. Then came the realization that the dream represented the loss of Faith in God and Church.",58,"Dream Text: Worst Nightmare",2010-08-03T05:12:37+00:00,zogby_052110:19514,"2010 Demographic Survey",Male,No,65+,65+,20754,"Upper-middle income",$75-100K,Asian,"College Degree",Col+,Asian,Northeast,"College Degree+",4,Lib,2,Protestant,No/NS,Married,Married,71.00,Yes,No,Weekly,"Not Important",Yes,Maryland,"1,191,568",Other,"Married Male","6,759",Total,"Not sure",Yes,0,"Very likely",Liberal,No,23,23,Privates,No,Obama,8,No,No,,,Yes,Yes,Yes,,No,Yes,Obama,Democratic,"Less often than once a month",Obama,"Less than once a month",Democratic,Never,No,No,No/NS
"I must have been very young. I just remember a toy dog I had and liked being as tall as a building, and it scared me. That's all I recall, but this too recurred some.",35,"Dream Text: Worst Nightmare",2010-08-03T05:16:13+00:00,zogby_052110:49003,"2010 Demographic Survey",Male,Yes,65+,65+,64068,,,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Lib,2,,,Married,Married,80.00,No,No,,"Very important",Yes,Missouri,"922,771","White Dem","Married Male","7,232",Total,Yes,"NS/not religious or spiritual",3,"Very likely",Liberal,Yes,23,23,Privates,Yes,Obama,8.5,Yes,No,,"Not sure",Yes,Yes,Yes,,Yes,Yes,Obama,Democratic,"Less often than once a month",Obama,"Less than once a month",Democratic,"Less than once a month",Yes,"Not sure",No/NS
"An unknown person was trying to take one of our dogs from me.",13,"Dream Text: Worst Nightmare",2010-08-03T05:14:41+00:00,zogby_052110:37297,"2010 Demographic Survey",Male,Yes,35-49,30-44,66606,"High income",$100+,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Lib,2,Other/None,,"Civil union","Civil Union/domestic partnership",41.00,Yes,No,Rarely,"Not Important",No/NS,Kansas,"2,103","White Dem","Other Male","7,181",Total,Yes,Yes,0,"Very likely",Liberal,No,23,23,Nikes,,Obama,6,Yes,No,,"Not sure",Yes,Yes,"Not sure",,No,Yes,Obama,Democratic,"Once a week",Obama,"Two or three times a month",Democratic,"Less than once a month",Yes,Yes,No/NS
"Being stalked by a man dressed very darkly, hooded. Carrying a rifle at his side. Unable to see face. Never raised his rifle.",23,"Dream Text: Worst Nightmare",2010-08-03T05:13:47+00:00,zogby_052110:30683,"2010 Demographic Survey",Male,"Not sure",65+,65+,98033,"Middle income",$50-75K,White,"College Degree",Col+,White,West,"College Degree+",1,Prog,2,Other/None,,D/W/S,Divorced/separated,65.00,Yes,No,1-2/Mo,"Not Important",Yes,Washington,"348,911","White Dem","Other Male","8,295",Total,"Not sure",Yes,1,"Very likely",Liberal,Yes,23,23,Privates,,Obama,7,No,No,,,No,No,No,,No,Yes,Obama,Democratic,"Once a week",Obama,"Less than once a month",Democratic,"Less than once a month",No,Yes,No/NS
